frame,t,obs_idx,obs_x,obs_y,obs_color,map_id,map_x,map_y,map_color,m2,side_ok,color_penalty
0,1046.354000,0,14.582,-2.080,blue,41,14.582,-2.080,blue,0.0000,1,0.0
0,1046.354000,1,12.108,-3.733,blue,40,12.108,-3.733,blue,0.0000,1,0.0
0,1046.354000,2,10.455,-6.207,blue,39,10.455,-6.207,blue,0.0000,1,0.0
0,1046.354000,3,9.875,-9.125,blue,38,9.875,-9.125,blue,0.0000,1,0.0
0,1046.354000,4,6.875,9.125,blue,15,6.875,9.125,blue,0.0000,1,0.0
0,1046.354000,5,7.684,5.059,blue,14,7.684,5.059,blue,0.0000,1,0.0
0,1046.354000,6,8.441,3.573,blue,13,8.440,3.574,blue,0.0000,1,0.0
0,1046.354000,7,14.582,2.080,yellow,57,14.582,2.081,yellow,0.0000,1,0.0
0,1046.354000,8,12.108,3.733,yellow,56,12.108,3.734,yellow,0.0000,1,0.0
0,1046.354000,9,10.455,6.207,yellow,55,10.455,6.207,yellow,0.0000,1,0.0
0,1046.354000,10,9.875,9.125,yellow,54,9.875,9.125,yellow,0.0000,1,0.0
0,1046.354000,11,8.441,-3.573,yellow,12,8.440,-3.573,yellow,0.0000,1,0.0
0,1046.354000,12,7.684,-5.059,yellow,11,7.684,-5.059,yellow,0.0000,1,0.0
0,1046.354000,13,6.875,-9.125,yellow,10,6.875,-9.125,yellow,0.0000,1,0.0
0,1046.354000,14,2.500,-1.500,orange,61,2.500,-1.500,orange,0.0000,1,0.0
0,1046.354000,15,7.500,-1.500,orange,60,7.500,-1.500,orange,0.0000,1,0.0
0,1046.354000,16,2.500,1.500,orange,59,2.500,1.500,orange,0.0000,1,0.0
0,1046.354000,17,7.500,1.500,orange,58,7.500,1.500,orange,0.0000,1,0.0
1,1049.344000,0,14.582,-2.080,blue,41,14.582,-2.080,blue,0.0000,1,0.0
1,1049.344000,1,12.108,-3.733,blue,40,12.108,-3.733,blue,0.0000,1,0.0
1,1049.344000,2,10.455,-6.207,blue,39,10.455,-6.207,blue,0.0000,1,0.0
1,1049.344000,3,9.875,-9.125,blue,38,9.875,-9.125,blue,0.0000,1,0.0
1,1049.344000,4,6.875,9.125,blue,15,6.875,9.125,blue,0.0000,1,0.0
1,1049.344000,5,7.684,5.059,blue,14,7.684,5.059,blue,0.0000,1,0.0
1,1049.344000,6,8.441,3.573,blue,13,8.440,3.574,blue,0.0000,1,0.0
1,1049.344000,7,14.582,2.080,yellow,57,14.582,2.081,yellow,0.0000,1,0.0
1,1049.344000,8,12.108,3.733,yellow,56,12.108,3.734,yellow,0.0000,1,0.0
1,1049.344000,9,10.455,6.207,yellow,55,10.455,6.207,yellow,0.0000,1,0.0
1,1049.344000,10,9.875,9.125,yellow,54,9.875,9.125,yellow,0.0000,1,0.0
1,1049.344000,11,8.441,-3.573,yellow,12,8.440,-3.573,yellow,0.0000,1,0.0
1,1049.344000,12,7.684,-5.059,yellow,11,7.684,-5.059,yellow,0.0000,1,0.0
1,1049.344000,13,6.875,-9.125,yellow,10,6.875,-9.125,yellow,0.0000,1,0.0
1,1049.344000,14,2.500,-1.500,orange,61,2.500,-1.500,orange,0.0000,1,0.0
1,1049.344000,15,7.500,-1.500,orange,60,7.500,-1.500,orange,0.0000,1,0.0
1,1049.344000,16,2.500,1.500,orange,59,2.500,1.500,orange,0.0000,1,0.0
1,1049.344000,17,7.500,1.500,orange,58,7.500,1.500,orange,0.0000,1,0.0
